Description,OnSalePrice,PurchasePrice,DateTimeReport
USD,4850.000000,4700.000000,2022-11-15T23:47:42-0500
EUR,4880.000000,4880.000000,2022-11-15T23:47:42-0500
MXN,280.000000,250.000000,2022-11-15T23:47:42-0500
